Date/Time,Year,Month,Day,Data Quality,Max Temp (å¡C),Max Temp Flag,Min Temp (å¡C),Min Temp Flag,Mean Temp (å¡C),Mean Temp Flag,Heat Deg Days (å¡C),Heat Deg Days Flag,Cool Deg Days (å¡C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2000-01-01,2000,1,1,,-6.3,,-14.3,,-10.3,,28.3,,0,,0,,4,E,4,,,,,,,
2000-01-02,2000,1,2,,-13.5,,-21.5,,-17.5,,35.5,,0,,0,,1.7,E,1.7,,,,,,,
2000-01-03,2000,1,3,,-17.7,,-30,,-23.9,,41.9,,0,,0,,1.4,E,1.4,,,,,,,
2000-01-04,2000,1,4,,-8,,-28.6,,-18.3,,36.3,,0,,0,,1.6,E,1.6,,,,,,,
2000-01-05,2000,1,5,,-8.1,,-17.2,,-12.7,,30.7,,0,,0,,0.6,E,0.6,,,,,,,
2000-01-06,2000,1,6,,-13,,-22.3,,-17.7,,35.7,,0,,0,,0,,0,,,,,,,
2000-01-07,2000,1,7,,-0.4,,-14.2,,-7.3,,25.3,,0,,0,,0.6,E,0.6,,,,,,,
2000-01-08,2000,1,8,,-1.7,,-11.2,,-6.5,,24.5,,0,,0,,0,,0,,,,,,,
2000-01-09,2000,1,9,,-1.2,,-13.2,,-7.2,,25.2,,0,,0,,0,,0,,,,,,,
2000-01-10,2000,1,10,,-5.9,,-27.6,,-16.8,,34.8,,0,,0,,3,E,3,,,,,,,
2000-01-11,2000,1,11,,-20.7,,-31.2,,-26,,44,,0,,0,,0.6,E,0.6,,,,,,,
2000-01-12,2000,1,12,,-15.8,,-22.9,,-19.4,,37.4,,0,,0,,0,,0,,,,,,,
2000-01-13,2000,1,13,,-13.6,,-24.6,,-19.1,,37.1,,0,,0,,0.6,E,0.6,,,,,,,
2000-01-14,2000,1,14,,-11.7,,-15.8,,-13.8,,31.8,,0,,0,,1.8,E,1.8,,,,,,,
2000-01-15,2000,1,15,,-15.5,,-33.2,,-24.4,,42.4,,0,,0,,2,E,2,,,,,,,
2000-01-16,2000,1,16,,-10.3,,-31.7,,-21,,39,,0,,0,,2.4,E,2.4,,,,,,,
2000-01-17,2000,1,17,,-2.1,,-20.4,,-11.3,,29.3,,0,,0,,0,,0,,,,,,,
2000-01-18,2000,1,18,,-14.1,,-20.1,,-17.1,,35.1,,0,,0,,0,,0,,,,,,,
2000-01-19,2000,1,19,,-11.1,,-25.7,,-18.4,,36.4,,0,,0,,0,,0,,,,,,,
2000-01-20,2000,1,20,,-19,,-29.3,,-24.2,,42.2,,0,,0,,0,,0,,,,,,,
2000-01-21,2000,1,21,,-9,,-23.5,,-16.3,,34.3,,0,,0,,0,,0,,,,,,,
2000-01-22,2000,1,22,,-10.4,,-16.9,,-13.7,,31.7,,0,,0,,0.7,E,0.7,,,,,,,
2000-01-23,2000,1,23,,-7.8,,-23.5,,-15.7,,33.7,,0,,0,,0,,0,,,,,,,
2000-01-24,2000,1,24,,-6.8,,-19,,-12.9,,30.9,,0,,0,,0,,0,,,,,,,
2000-01-25,2000,1,25,,-10.7,,-23.5,,-17.1,,35.1,,0,,0,,0,,0,,,,,,,
2000-01-26,2000,1,26,,-6,,-16.2,,-11.1,,29.1,,0,,0,,0,,0,,,,,,,
2000-01-27,2000,1,27,,-6.2,,-12.9,,-9.6,,27.6,,0,,0,,0,,0,,,,,,,
2000-01-28,2000,1,28,,-8.6,,-19.2,,-13.9,,31.9,,0,,0,,0,,0,,,,,,,
2000-01-29,2000,1,29,,-9,,-19.5,,-14.3,,32.3,,0,,0,,0,,0,,,,,,,
2000-01-30,2000,1,30,,-5.7,,-18.6,,-12.2,,30.2,,0,,0,,0,,0,,,,,,,
2000-01-31,2000,1,31,,-8.6,,-21.7,,-15.2,,33.2,,0,,0,,0,,0,,,,,,,
2000-02-01,2000,2,1,,-0.1,,-12.5,,-6.3,,24.3,,0,,0,,0,,0,,,,,,,
2000-02-02,2000,2,2,,2,,-3.5,,-0.8,,18.8,,0,,0,,0,,0,,,,,,,
