Date/Time,Year,Month,Day,Data Quality,Max Temp (å¡C),Max Temp Flag,Min Temp (å¡C),Min Temp Flag,Mean Temp (å¡C),Mean Temp Flag,Heat Deg Days (å¡C),Heat Deg Days Flag,Cool Deg Days (å¡C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2001-01-01,2001,1,1,,-12.2,,-20.2,,-16.2,,34.2,,0,,0,,1.5,E,1.5,,,,,,,
2001-01-02,2001,1,2,,0.1,,-15.6,,-7.8,,25.8,,0,,0,,0,,0,,,,,,,
2001-01-03,2001,1,3,,1.6,,-13.8,,-6.1,,24.1,,0,,0,,0,,0,,,,,,,
2001-01-04,2001,1,4,,3.5,,-7.9,,-2.2,,20.2,,0,,0,,0,,0,,,,,,,
2001-01-05,2001,1,5,,3.9,,-14.2,,-5.2,,23.2,,0,,0,,0,,0,,,,,,,
2001-01-06,2001,1,6,,1.3,,-2.6,,-0.7,,18.7,,0,,0,,0,,0,,,,,,,
2001-01-07,2001,1,7,,1.2,,-14.6,,-6.7,,24.7,,0,,0,,0,,0,,,,,,,
2001-01-08,2001,1,8,,-6.9,,-15,,-11,,29,,0,,0,,0,,0,,,,,,,
2001-01-09,2001,1,9,,1.7,,-12,,-5.2,,23.2,,0,,0,,0,,0,,,,,,,
2001-01-10,2001,1,10,,-4.1,,-16.8,,-10.5,,28.5,,0,,0,,0,,0,,,,,,,
2001-01-11,2001,1,11,,-6.6,,-18.1,,-12.4,,30.4,,0,,0,,0,,0,,,,,,,
2001-01-12,2001,1,12,,-8.1,,-12.9,,-10.5,,28.5,,0,,0,,0,,0,,,,,,,
2001-01-13,2001,1,13,,-8.6,,-9.9,,-9.3,,27.3,,0,,0,,0.6,E,0.6,,,,,,,
2001-01-14,2001,1,14,,-9.1,,-11.5,,-10.3,,28.3,,0,,0,,2.3,E,2.3,,,,,,,
2001-01-15,2001,1,15,,-9,,-13.5,,-11.3,,29.3,,0,,0,,0.9,E,0.9,,,,,,,
2001-01-16,2001,1,16,,-7.3,,-17.1,,-12.2,,30.2,,0,,0,,0.6,E,0.6,,,,,,,
2001-01-17,2001,1,17,,-1.8,,-7.6,,-4.7,,22.7,,0,,0,,0.6,E,0.6,,,,,,,
2001-01-18,2001,1,18,,-7.6,,-16.9,,-12.3,,30.3,,0,,0,,0,,0,,,,,,,
2001-01-19,2001,1,19,,-7.5,,-17.5,,-12.5,,30.5,,0,,0,,0,,0,,,,,,,
2001-01-20,2001,1,20,,-7.7,,-19.6,,-13.7,,31.7,,0,,0,,0,,0,,,,,,,
2001-01-21,2001,1,21,,-4.6,,-18.1,,-11.4,,29.4,,0,,0,,0,,0,,,,,,,
2001-01-22,2001,1,22,,-1.8,,-14.3,,-8.1,,26.1,,0,,0,,1.4,E,1.4,,,,,,,
2001-01-23,2001,1,23,,-12,,-24,,-18,,36,,0,,0,,0,,0,,,,,,,
2001-01-24,2001,1,24,,-12.8,,-25.3,,-19.1,,37.1,,0,,0,,0,,0,,,,,,,
2001-01-25,2001,1,25,,-5,,-19.5,,-12.3,,30.3,,0,,0,,0,,0,,,,,,,
2001-01-26,2001,1,26,,-5.9,,-15.5,,-10.7,,28.7,,0,,0,,0,,0,,,,,,,
2001-01-27,2001,1,27,,-7.6,,-15.2,,-11.4,,29.4,,0,,0,,0,,0,,,,,,,
2001-01-28,2001,1,28,,-3.1,,-16.6,,-9.9,,27.9,,0,,0,,0,,0,,,,,,,
2001-01-29,2001,1,29,,-8.2,,-17.5,,-12.9,,30.9,,0,,0,,0,,0,,,,,,,
2001-01-30,2001,1,30,,-5,,-11.7,,-8.4,,26.4,,0,,0,,0,,0,,,,,,,
2001-01-31,2001,1,31,,-6.6,,-29.1,,-17.9,,35.9,,0,,0,,0.8,E,0.8,,,,,,,
2001-02-01,2001,2,1,,-14.8,,-34.1,,-24.5,,42.5,,0,,0,,0,,0,,,,,,,
2001-02-02,2001,2,2,,-0.4,,-14.8,,-7.6,,25.6,,0,,0,,0.6,E,0.6,,,,,,,
2001-02-03,2001,2,3,,0,,-11.8,,-5.9,,23.9,,0,,0,,0.7,E,0.7,,,,,,,
2001-02-04,2001,2,4,,-5.7,,-14.2,,-10,,28,,0,,0,,0,,0,,,,,,,
2001-02-05,2001,2,5,,-6,,-18.7,,-12.4,,30.4,,0,,0,,0,,0,,,,,,,
2001-02-06,2001,2,6,,-9,,-24.7,,-16.9,,34.9,,0,,0,,0,,0,,,,,,,
2001-02-07,2001,2,7,,-18,,-28.9,,-23.5,,41.5,,0,,0,,0,,0,,,,,,,
2001-02-08,2001,2,8,,-20.3,,-31.8,,-26.1,,44.1,,0,,0,,0,,0,,,,,,,
2001-02-09,2001,2,9,,-22.5,,-30,,-26.3,,44.3,,0,,0,,0,,0,,,,,,,
2001-02-10,2001,2,10,,-19,,-29,,-24,,42,,0,,0,,0,,0,,,,,,,
2001-02-11,2001,2,11,,-18.2,,-26.3,,-22.3,,40.3,,0,,0,,0,,0,,,,,,,
2001-02-12,2001,2,12,,-14.5,,-29.9,,-22.2,,40.2,,0,,0,,0.6,E,0.6,,,,,,,
2001-02-13,2001,2,13,,-18.3,,-28,,-23.2,,41.2,,0,,0,,0,,0,,,,,,,
2001-02-14,2001,2,14,,-7.5,,-29.2,,-18.4,,36.4,,0,,0,,1.4,E,1.4,,,,,,,
2001-02-15,2001,2,15,,-11.9,,-26,,-19,,37,,0,,0,,0.6,E,0.6,,,,,,,
2001-02-16,2001,2,16,,-19.8,,-28.9,,-24.4,,42.4,,0,,0,,0,,0,,,,,,,
2001-02-17,2001,2,17,,-15.1,,-30,,-22.6,,40.6,,0,,0,,0,,0,,,,,,,
2001-02-18,2001,2,18,,-12.1,,-27.1,,-19.6,,37.6,,0,,0,,0,,0,,,,,,,
2001-02-19,2001,2,19,,-15.5,,-22.8,,-19.2,,37.2,,0,,0,,0,,0,,,,,,,
2001-02-20,2001,2,20,,-17.5,,-29.9,,-23.7,,41.7,,0,,0,,0,,0,,,,,,,
2001-02-21,2001,2,21,,-7,,-25.2,,-16.1,,34.1,,0,,0,,0.7,E,0.7,,,,,,,
2001-02-22,2001,2,22,,-13.5,,-23.2,,-18.4,,36.4,,0,,0,,0,,0,,,,,,,
2001-02-23,2001,2,23,,-9.1,,-23,,-16.1,,34.1,,0,,0,,0,,0,,,,,,,
2001-02-24,2001,2,24,,-9.1,,-15,,-12.1,,30.1,,0,,0,,0.7,E,0.7,,,,,,,
2001-02-25,2001,2,25,,-15,,-27.8,,-21.4,,39.4,,0,,0,,0,,0,,,,,,,
2001-02-26,2001,2,26,,-21.3,,-33.9,,-27.6,,45.6,,0,,0,,0,,0,,,,,,,
2001-02-27,2001,2,27,,-9.6,,-32.2,,-20.9,,38.9,,0,,0,,0.6,E,0.6,,,,,,,
2001-02-28,2001,2,28,,0,,-10.7,,-5.4,,23.4,,0,,0,,0,,0,,,,,,,
2001-03-01,2001,3,1,,1,,-11.3,,-5.2,,23.2,,0,,0,,0,,0,,,,,,,
2001-03-02,2001,3,2,,-1.3,,-12.1,,-6.7,,24.7,,0,,0,,0,,0,,,,,,,
2001-03-03,2001,3,3,,-4.3,,-13.9,,-9.1,,27.1,,0,,0,,0,,0,,,,,,,
2001-03-04,2001,3,4,,-3.4,,-7.2,,-5.3,,23.3,,0,,0,,0,,0,,,,,,,
2001-03-05,2001,3,5,,-4.2,,-8.2,,-6.2,,24.2,,0,,0,,0,,0,,,,,,,
2001-03-06,2001,3,6,,-2.5,,-9.7,,-6.1,,24.1,,0,,0,,0,,0,,,,,,,
2001-03-07,2001,3,7,,-1.3,,-15.6,,-8.5,,26.5,,0,,0,,0,,0,,,,,,,
2001-03-08,2001,3,8,,-0.1,,-15.7,,-7.9,,25.9,,0,,0,,0.6,E,0.6,,,,,,,
2001-03-09,2001,3,9,,0.7,,-9.3,,-4.3,,22.3,,0,,0,,0,,0,,,,,,,
2001-03-10,2001,3,10,,-2.3,,-13.6,,-8,,26,,0,,0,,0,,0,,,,,,,
2001-03-11,2001,3,11,,1.3,,-7.6,,-3.2,,21.2,,0,,0,,0,,0,,,,,,,
