Date/Time,Year,Month,Day,Data Quality,Max Temp (хбC),Max Temp Flag,Min Temp (хбC),Min Temp Flag,Mean Temp (хбC),Mean Temp Flag,Heat Deg Days (хбC),Heat Deg Days Flag,Cool Deg Days (хбC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2013-01-01,2013,1,1,ха,-22,,-27.8,,-24.9,,42.9,,0,,,M,,M,0,,22,,34,,33,
2013-01-02,2013,1,2,ха,-24.1,,-27.7,,-25.9,,43.9,,0,,,M,,M,0,,21,,34,,48,
2013-01-03,2013,1,3,ха,-26,,-30.2,,-28.1,,46.1,,0,,,M,,M,0,,21,,35,,46,
2013-01-04,2013,1,4,ха,-28.1,,-32.8,,-30.5,,48.5,,0,,,M,,M,0,,21,,34,,43,
2013-01-05,2013,1,5,ха,-29.5,,-33.4,,-31.5,,49.5,,0,,,M,,M,0,,21,,1,,41,
2013-01-06,2013,1,6,ха,-29.9,,-35,,-32.5,,50.5,,0,,,M,,M,0,,21,,31,,32,
2013-01-07,2013,1,7,ха,-29.3,,-32.2,,-30.8,,48.8,,0,,,M,,M,0,,21,,32,,33,
2013-01-08,2013,1,8,ха,-28.6,,-33.6,,-31.1,,49.1,,0,,,M,,M,0,,21,,,,<31,
2013-01-09,2013,1,9,ха,-23.6,,-33.2,,-28.4,,46.4,,0,,,M,,M,0.2,,21,,,,<31,
2013-01-10,2013,1,10,ха,-22.1,,-33.2,,-27.7,,45.7,,0,,,M,,M,0,,21,,,,<31,
2013-01-11,2013,1,11,ха,-29,,-35.9,,-32.5,,50.5,,0,,,M,,M,0,,21,,,,<31,
2013-01-12,2013,1,12,ха,-16.1,,-36.2,,-26.2,,44.2,,0,,,M,,M,1.2,,21,,,,<31,
2013-01-13,2013,1,13,ха,-10.7,,-18.9,,-14.8,,32.8,,0,,,M,,M,0.4,,24,,,,<31,
2013-01-14,2013,1,14,ха,-11.7,,-15.8,,-13.8,,31.8,,0,,,M,,M,0,,24,,,,<31,
2013-01-15,2013,1,15,ха,-12.2,,-26,,-19.1,,37.1,,0,,,M,,M,0.6,,23,,34,,37,
2013-01-16,2013,1,16,ха,-25.6,,-36,,-30.8,,48.8,,0,,,M,,M,0,,22,,,,<31,
2013-01-17,2013,1,17,ха,-22.7,,-35.1,,-28.9,,46.9,,0,,,M,,M,1.2,,22,,,,<31,
2013-01-18,2013,1,18,ха,-22.5,,-26.7,,-24.6,,42.6,,0,,,M,,M,1.2,,23,,34,,61,
2013-01-19,2013,1,19,ха,-21.3,,-26.9,,-24.1,,42.1,,0,,,M,,M,0.6,,21,,34,,76,
2013-01-20,2013,1,20,ха,-22,,-32.3,,-27.2,,45.2,,0,,,M,,M,0,,21,,34,,37,
2013-01-21,2013,1,21,ха,-29.6,,-33.6,,-31.6,,49.6,,0,,,M,,M,0,,21,,32,,65,
2013-01-22,2013,1,22,ха,-22,,-29.7,,-25.9,,43.9,,0,,,M,,M,0.2,,21,,35,,74,
2013-01-23,2013,1,23,ха,-17.6,,-22.1,,-19.9,,37.9,,0,,,M,,M,0.4,,21,,33,,67,
2013-01-24,2013,1,24,ха,-15.4,,-23.2,,-19.3,,37.3,,0,,,M,,M,0.5,,22,,35,,61,
2013-01-25,2013,1,25,ха,-14.9,,-23.6,,-19.3,,37.3,,0,,,M,,M,0.2,,21,,31,,39,
2013-01-26,2013,1,26,ха,-17.8,,-24.3,,-21.1,,39.1,,0,,,M,,M,0,,21,,1,,46,
2013-01-27,2013,1,27,ха,-23.9,,-27.1,,-25.5,,43.5,,0,,,M,,M,0,,21,,35,,59,
2013-01-28,2013,1,28,ха,-20.2,,-27.9,,-24.1,,42.1,,0,,,M,,M,0,,21,,35,,50,
2013-01-29,2013,1,29,ха,-22.8,,-27.3,,-25.1,,43.1,,0,,,M,,M,0,,21,,34,,37,
2013-01-30,2013,1,30,ха,-18.1,,-23.8,,-21,,39,,0,,,M,,M,0.2,,22,,,,<31,
2013-01-31,2013,1,31,ха,-9.8,,-23.8,,-16.8,,34.8,,0,,,M,,M,0.6,,22,,,,<31,
2013-02-01,2013,2,1,ха,-9.3,,-20.3,,-14.8,,32.8,,0,,,M,,M,1.5,,22,,32,,87,
2013-02-02,2013,2,2,ха,-20,,-24.4,,-22.2,,40.2,,0,,,M,,M,0.4,,21,,31,,72,
2013-02-03,2013,2,3,ха,-24.1,,-30.5,,-27.3,,45.3,,0,,,M,,M,0.4,,21,,33,,48,
2013-02-04,2013,2,4,ха,-26.6,,-32.8,,-29.7,,47.7,,0,,,M,,M,0.8,,21,,,,<31,
2013-02-05,2013,2,5,ха,-17.4,,-27.9,,-22.7,,40.7,,0,,,M,,M,1.6,,21,,34,,74,
2013-02-06,2013,2,6,ха,-12.3,,-23.6,,-18,,36,,0,,,M,,M,6.4,,22,,33,,56,
2013-02-07,2013,2,7,ха,,M,-23.2,E,,M,,M,,M,,M,,M,,M,21,,,M,,M
2013-02-08,2013,2,8,ха,,M,,M,,M,,M,,M,,M,,M,,M,21,,,,<31,
2013-02-09,2013,2,9,ха,-22.7,,-30.2,,-26.5,,44.5,,0,,0,,,M,1.3,,21,,,,<31,
2013-02-10,2013,2,10,ха,-23,,-33.2,,-28.1,,46.1,,0,,,M,,M,0.8,,22,,,,<31,
2013-02-11,2013,2,11,ха,-28.2,,-34.3,,-31.3,,49.3,,0,,,M,,M,0,,21,,,,<31,
2013-02-12,2013,2,12,ха,-28.5,,-36.1,,-32.3,,50.3,,0,,,M,,M,0,,21,,,,<31,
2013-02-13,2013,2,13,ха,-27,,-36.4,,-31.7,,49.7,,0,,,M,,M,0,,21,,,,<31,
2013-02-14,2013,2,14,ха,-13.5,,-30.5,,-22,,40,,0,,0,,,M,1.5,,21,,,,<31,
2013-02-15,2013,2,15,ха,-12.5,,-15.2,,-13.9,,31.9,,0,,,M,,M,1.2,,23,,,,<31,
2013-02-16,2013,2,16,ха,-12.3,,-25.3,,-18.8,,36.8,,0,,0,,,M,1.3,,25,,,,<31,
2013-02-17,2013,2,17,ха,-12.6,,-23.7,,-18.2,,36.2,,0,,0,,,M,1.8,,29,,,,<31,
2013-02-18,2013,2,18,ха,-8.5,,-19.1,,-13.8,,31.8,,0,,,M,,M,5,,34,,35,,46,
2013-02-19,2013,2,19,ха,-19,,-32.2,,-25.6,,43.6,,0,,0,,,M,0.3,,26,,31,,43,
2013-02-20,2013,2,20,ха,-28,,-34.4,,-31.2,,49.2,,0,,,M,,M,0.4,,27,,31,,32,
2013-02-21,2013,2,21,ха,-27.4,,-36.3,,-31.9,,49.9,,0,,,M,,M,0.3,,26,,33,,35,
2013-02-22,2013,2,22,ха,-26.7,,-36.5,,-31.6,,49.6,,0,,,M,,M,0,,23,,,,<31,
2013-02-23,2013,2,23,ха,-23.9,,-32.8,,-28.4,,46.4,,0,,,M,,M,0,,23,,,,<31,
2013-02-24,2013,2,24,ха,-19.2,,-28.8,,-24,,42,,0,,,M,,M,0.6,,24,,,,<31,
2013-02-25,2013,2,25,ха,-17.4,,-30,,-23.7,,41.7,,0,,,M,,M,1.1,,24,,,,<31,
2013-02-26,2013,2,26,ха,-14.8,,-27.7,,-21.3,,39.3,,0,,,M,,M,1,,23,,,,<31,
2013-02-27,2013,2,27,ха,-15.2,,-28.2,,-21.7,,39.7,,0,,,M,,M,1,,27,,34,,52,
2013-02-28,2013,2,28,ха,-27.4,,-35.7,,-31.6,,49.6,,0,,,M,,M,0.3,,21,,32,,46,
2013-03-01,2013,3,1,ха,-30.8,,-38.3,,-34.6,,52.6,,0,,,M,,M,2,,21,,,,<31,
2013-03-02,2013,3,2,ха,-24.4,,-35.5,,-30,,48,,0,,,M,,M,1.5,,21,,,,<31,
2013-03-03,2013,3,3,ха,-19,,-27.1,,-23.1,,41.1,,0,,,M,,M,0.5,,21,,,,<31,
2013-03-04,2013,3,4,ха,-9.7,,-22.7,,-16.2,,34.2,,0,,,M,,M,0,,21,,14,,44,
2013-03-05,2013,3,5,ха,-4.2,,-15,,-9.6,,27.6,,0,,,M,,M,0.4,,21,,35,,44,
2013-03-06,2013,3,6,ха,-13.9,,-22.6,,-18.3,,36.3,,0,,,M,,M,0.4,,21,,34,,32,
2013-03-07,2013,3,7,ха,-12.4,,-26.9,,-19.7,,37.7,,0,,,M,,M,1.2,,21,,,,<31,
2013-03-08,2013,3,8,ха,-10.5,,-27.6,,-19.1,,37.1,,0,,,M,,M,0,,21,,,,<31,
2013-03-09,2013,3,9,ха,-21.2,,-31,,-26.1,,44.1,,0,,,M,,M,1.8,,21,,,,<31,
2013-03-10,2013,3,10,ха,-9,,-22.8,,-15.9,,33.9,,0,,0,,,M,5,,23,,,,<31,
2013-03-11,2013,3,11,ха,-5.8,,-20.3,,-13.1,,31.1,,0,,,M,,M,10.1,,29,,29,,83,
2013-03-12,2013,3,12,ха,-19.5,,-27.1,,-23.3,,41.3,,0,,,M,,M,3.8,,21,,31,,83,
2013-03-13,2013,3,13,ха,-18.2,,-30.1,,-24.2,,42.2,,0,,,M,,M,2.6,,21,,31,,32,
2013-03-14,2013,3,14,ха,-8.7,,-25.1,,-16.9,,34.9,,0,,0,,,M,0.5,,21,,9,,43,
2013-03-15,2013,3,15,ха,-2.3,,-11.7,,-7,,25,,0,,,M,,M,4.2,,28,,14,,65,
2013-03-16,2013,3,16,ха,-6.4,,-17,,-11.7,,29.7,,0,,,M,,M,2.9,,21,,32,,41,
2013-03-17,2013,3,17,ха,-7.4,,-18.2,,-12.8,,30.8,,0,,0,,,M,1.4,,22,,34,,59,
2013-03-18,2013,3,18,ха,-3.4,,-18.2,,-10.8,,28.8,,0,,,M,,M,1.6,,23,,32,,65,
2013-03-19,2013,3,19,ха,-3.5,,-11.2,,-7.4,,25.4,,0,,,M,,M,0.7,,22,,14,,61,
2013-03-20,2013,3,20,ха,-7.8,,-13.4,,-10.6,,28.6,,0,,,M,,M,7.4,,22,,,,<31,
2013-03-21,2013,3,21,ха,1.5,,-9,,-3.8,,21.8,,0,,,M,,M,11.9,,22,,,,<31,
2013-03-22,2013,3,22,ха,-3.8,,-16.2,,-10,,28,,0,,,M,,M,0,,21,,,,<31,
2013-03-23,2013,3,23,ха,-1.1,,-18.1,,-9.6,,27.6,,0,,,M,,M,0,,22,,,,<31,
2013-03-24,2013,3,24,ха,-5,,-16.4,,-10.7,,28.7,,0,,,M,,M,0,,22,,,,<31,
2013-03-25,2013,3,25,ха,-8.4,,-17.5,,-13,,31,,0,,,M,,M,0,,22,,36,,35,
2013-03-26,2013,3,26,ха,-11.8,,-19.5,,-15.7,,33.7,,0,,,M,,M,0,,22,,34,,33,
2013-03-27,2013,3,27,ха,-16.8,,-22.2,,-19.5,,37.5,,0,,,M,,M,0,,22,,33,,52,
2013-03-28,2013,3,28,ха,-16.4,,-21.8,,-19.1,,37.1,,0,,,M,,M,0,,22,,36,,46,
2013-03-29,2013,3,29,ха,-12.1,,-18.8,,-15.5,,33.5,,0,,,M,,M,0,,22,,33,,32,
2013-03-30,2013,3,30,ха,-10.8,,-18.8,,-14.8,,32.8,,0,,,M,,M,0,,22,,,,<31,
2013-03-31,2013,3,31,ха,-9.5,,-13.3,,-11.4,,29.4,,0,,0,,,M,0.9,,23,,,,<31,
2013-04-01,2013,4,1,ха,-3.5,,-9.5,,-6.5,,24.5,,0,,0,,,M,4.9,,32,,33,,32,
2013-04-02,2013,4,2,ха,-7.6,,-11.3,,-9.5,,27.5,,0,,,M,,M,0,,37,,34,,35,
2013-04-03,2013,4,3,ха,2.7,,-9.1,,-3.2,,21.2,,0,,,M,,M,0,,35,,9,,61,
2013-04-04,2013,4,4,ха,2.1,,-3.3,,-0.6,,18.6,,0,,0,,,M,1.2,,28,,8,,67,
2013-04-05,2013,4,5,ха,2,,-3.5,,-0.8,,18.8,,0,,,M,,M,3.1,,34,,7,,72,
