0,1996
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
4,
12,
16,
12,
4,
-7,
-12,
-19,
-19,
-19,
-19,
0,1997
0,
0,
0,
0,
0,
0,
-5,
-18,
-26,
-33,
-40,
-45,
-46,
-42,
-49,
-52,
-47,
-42,
-36,
-30,
-26,
-18,
-8,
-2,
9,
19,
28,
35,
41,
47,
53,
58,
66,
72,
82,
93,
104,
113,
120,
128,
137,
142,
146,
143,
146,
142,
137,
130,
127,
121,
118,
116,
0,1998
0,
-3,
-15,
-23,
-32,
-41,
-41,
-41,
-41,
-41,
-50,
-54,
-54,
-54,
-49,
-42,
-40,
-35,
-30,
-22,
-13,
-3,
4,
14,
23,
36,
48,
57,
65,
75,
84,
94,
102,
110,
118,
125,
136,
146,
156,
166,
170,
176,
182,
188,
190,
186,
182,
180,
180,
173,
170,
157,
0,1999
0,
-7,
-18,
-28,
-34,
-42,
-50,
-53,
-58,
-64,
-70,
-72,
-77,
-77,
-79,
-74,
-68,
-64,
-54,
-47,
-38,
-29,
-21,
-13,
-3,
7,
15,
23,
33,
41,
51,
60,
70,
81,
91,
99,
110,
119,
122,
128,
131,
137,
143,
147,
151,
152,
151,
153,
156,
152,
144,
135,
0,2000
0,
-5,
-14,
-23,
-28,
-30,
-38,
-43,
-45,
-48,
-50,
-54,
-49,
-43,
-39,
-35,
-38,
-33,
-28,
-20,
-12,
-5,
4,
11,
22,
33,
43,
48,
59,
70,
78,
84,
95,
106,
115,
126,
136,
147,
154,
160,
159,
160,
164,
168,
176,
178,
170,
165,
153,
146,
142,
139,
0,2001
0,
-8,
-11,
-14,
-23,
-30,
-39,
-42,
-47,
-55,
-59,
-62,
-65,
-69,
-63,
-60,
-56,
-56,
-47,
-40,
-29,
-21,
-13,
-2,
8,
19,
28,
38,
47,
52,
57,
64,
74,
83,
93,
100,
110,
117,
125,
135,
140,
147,
152,
154,
160,
164,
164,
167,
158,
156,
152,
147,
0,2002
0,
-4,
-5,
-10,
-15,
-20,
-22,
-24,
-28,
-31,
-34,
-36,
-39,
-39,
-43,
-37,
-35,
-34,
-29,
-24,
-16,
-12,
-1,
3,
12,
21,
33,
40,
45,
54,
64,
75,
88,
93,
103,
114,
123,
127,
131,
133,
139,
145,
139,
132,
129,
126,
119,
115,
109,
101,
97,
95,
0,2003
0,
-2,
-10,
-15,
-24,
-33,
-36,
-43,
-52,
-59,
-64,
-71,
-71,
-70,
-74,
-71,
-72,
-66,
-59,
-51,
-48,
-40,
-29,
-18,
-8,
3,
11,
22,
32,
40,
48,
57,
67,
72,
82,
89,
95,
106,
113,
117,
116,
123,
127,
129,
123,
117,
116,
112,
110,
104,
95,
91,
0,2004
0,
-9,
-16,
-25,
-28,
-37,
-42,
-51,
-56,
-63,
-65,
-73,
-80,
-80,
-75,
-77,
-70,
-62,
-55,
-56,
-55,
-48,
-38,
-27,
-18,
-9,
0,
10,
18,
28,
37,
46,
46,
46,
46,
46,
57,
68,
74,
85,
92,
92,
92,
92,
92,
98,
99,
100,
93,
93,
93,
93,
0,2005
0,
-3,
-8,
-17,
-26,
-28,
-36,
-44,
-48,
-52,
-60,
-66,
-73,
-74,
-66,
-58,
-55,
-50,
-47,
-39,
-36,
-26,
-15,
-6,
5,
15,
22,
33,
38,
45,
56,
68,
77,
85,
95,
104,
115,
122,
132,
139,
143,
145,
153,
159,
164,
167,
164,
159,
154,
150,
150,
146,
0,2006
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
-1,
-5,
-9,
-7,
-7,
-7,
-7,
-7,
-7,
-7,
-7,
-7,
-7,
4,
14,
23,
33,
43,
51,
56,
66,
76,
86,
95,
104,
113,
116,
119,
122,
127,
127,
127,
127,
126,
122,
122,
122,
118,
110,
100,
94,
91,
0,2007
0,
-7,
-16,
-25,
-30,
-39,
-42,
-51,
-61,
-68,
-76,
-83,
-83,
-83,
-87,
-87,
-81,
-76,
-66,
-62,
-55,
-48,
-39,
-29,
-19,
-6,
5,
14,
22,
28,
40,
44,
54,
64,
75,
85,
96,
102,
113,
122,
128,
133,
139,
142,
146,
144,
139,
136,
130,
127,
121,
117,
0,2008
0,
-7,
-14,
-20,
-29,
-37,
-46,
-56,
-65,
-73,
-78,
-82,
-83,
-86,
-85,
-82,
-76,
-77,
-75,
-72,
-68,
-64,
-59,
-54,
-50,
-46,
-40,
-34,
-28,
-23,
-19,
-13,
-7,
1,
2,
7,
12,
18,
20,
25,
30,
32,
34,
34,
36,
30,
27,
24,
23,
21,
15,
12,
0,2009
0,
-7,
-14,
-23,
-31,
-39,
-41,
-44,
-47,
-55,
-66,
-74,
-78,
-83,
-90,
-89,
-85,
-82,
-79,
-78,
-75,
-70,
-68,
-63,
-55,
-51,
-45,
-41,
-35,
-29,
-26,
-23,
-17,
-9,
-3,
3,
9,
17,
23,
23,
25,
19,
22,
23,
22,
25,
25,
26,
23,
19,
15,
11,
0,2010
0,
-7,
-16,
-17,
-25,
-28,
-33,
-38,
-41,
-46,
-48,
-48,
-51,
-53,
-56,
-54,
-50,
-45,
-43,
-38,
-33,
-31,
-27,
-20,
-14,
-6,
0,
7,
12,
20,
26,
34,
40,
47,
52,
57,
59,
65,
65,
70,
76,
81,
82,
84,
86,
86,
85,
81,
79,
79,
79,
79,
0,2011
0,
-6,
-12,
-15,
-23,
-30,
-37,
-45,
-48,
-50,
-58,
-64,
-66,
-67,
-67,
-67,
-66,
-60,
-61,
-57,
-57,
-52,
-46,
-41,
-35,
-27,
-27,
-21,
-14,
-11,
-1,
4,
8,
13,
18,
23,
29,
35,
35,
