,2014
0,
-12,
-20,
-20,
-27,
-38,
-45,
-51,
-60,
-70,
-78,
-77,
-83,
-91,
-95,
-96,
-93,
-89,
-90,
-83,
-76,
-67,
-60,
-53,
-45,
-35,
-27,
-18,
-13,
-5,
2,
9,
18,
29,
37,
46,
47,
46,
56,
63,
68,
74,
80,
82,
81,
72,
68,
62,
53,
52,
49,
50,
