,2013
0,
-3,
-13,
-14,
-14,
-20,
-20,
-20,
-20,
-21,
-25,
-31,
-32,
-32,
-38,
-38,
-40,
-37,
-37,
-33,
-24,
-21,
-14,
-7,
-7,
-4,
4,
12,
21,
30,
38,
47,
56,
66,
71,
71,
81,
82,
90,
88,
97,
97,
97,
98,
97,
98,
88,
86,
78,
68,
58,
49,
