value

0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
10
17
26
31
39
49
60
60
60
65
73
78
85
86
81
82
78
78
68
65
63
60
55
